Symbol,Name,Scenario,r,g,payout_DDM,payout_RIM,DDM_price,RIM_price,cheap_mean_3y
A408900,스튜디오미르,Base,0.08,0.05,0.35,0.35,0.004666024356331596,-0.7690416445618976,0.14578703703703708
A408900,스튜디오미르,Optimistic,0.065,0.05,0.39999999999999997,0.39999999999999997,0.010665198528757934,-1.649496538568802,0.14578703703703708
A035500,써니트렌드,Conservative,0.095,-0.3105897649218138,0.25,0.25,,,
A035500,써니트렌드,Base,0.08,-0.3005897649218138,0.3,0.3,,,
A035500,써니트렌드,Optimistic,0.065,-0.29058976492181376,0.35,0.35,,,
A099830,씨그널엔터테인먼트그룹,Conservative,0.095,0.04,0.25,0.25,-0.0033447547846195925,-0.06569229999599327,
A099830,씨그널엔터테인먼트그룹,Base,0.08,0.05,0.3,0.3,-0.007429214954299288,-0.156817498937459,
A099830,씨그널엔터테인먼트그룹,Optimistic,0.065,0.05,0.35,0.35,-0.017334834893365007,-0.33654980156219855,
A012170,아센디오,Conservative,0.095,-0.3791946107722906,0.2,0.2,-4.1642938218291224e-05,0.0122896765352109,0.5542970917970917
A012170,아센디오,Base,0.08,-0.3691946107722906,0.25,0.25,-5.583588074569971e-05,0.013512349385349526,0.5542970917970917
A012170,아센디오,Optimistic,0.065,-0.3591946107722906,0.3,0.3,-7.207667902579529e-05,0.014910460491745233,0.5542970917970917
A040740,아인스M&M,Conservative,0.095,-0.4316957262466377,0.25,0.25,,,
A040740,아인스M&M,Base,0.08,-0.4216957262466377,0.3,0.3,,,
A040740,아인스M&M,Optimistic,0.065,-0.4116957262466377,0.35,0.35,,,
A200350,아티스트스튜디오,Conservative,0.095,0.04,0.2,0.2,-0.0022332129738965754,-0.29363119234400925,0.4370093795093795
A200350,아티스트스튜디오,Base,0.08,0.05,0.25,0.25,-0.005166989152344841,-0.7174224773115023,0.4370093795093795
A200350,아티스트스튜디오,Optimistic,0.065,0.05,0.3,0.3,-0.012400773965627618,-1.5391185884586303,0.4370093795093795
A361570,알비더블유,Conservative,0.095,0.04,0.2,0.2,0.00014181701136164145,-0.13804821517148586,0.3361466311466312
A361570,알비더블유,Base,0.08,0.05,0.25,0.25,0.00032812229191245165,-0.339172812840809,0.3361466311466312
A361570,알비더블유,Optimistic,0.065,0.05,0.3,0.3,0.0007874935005898839,-0.7274595020473197,0.3361466311466312
A310200,애니플러스,Conservative,0.095,0.04,0.3,0.3,0.00155414272274621,-0.10165759923319666,0.5378187553187553
A310200,애니플러스,Base,0.08,0.05,0.35,0.35,0.0033561014725969843,-0.2504841981818625,0.5378187553187553
A310200,애니플러스,Optimistic,0.065,0.05,0.39999999999999997,0.39999999999999997,0.007671089080221676,-0.5372806235542025,0.5378187553187553
A041510,에스엠,Conservative,0.095,0.04,0.3,0.3,0.02364040765159182,-1.730487943632067,0.43541329041329035
A041510,에스엠,Base,0.08,0.05,0.35,0.35,0.05105039953608971,-4.265301254047913,0.43541329041329035
A041510,에스엠,Optimistic,0.065,0.05,0.39999999999999997,0.39999999999999997,0.1166866275110622,-9.148851611926977,0.43541329041329035
A241840,에이스토리,Conservative,0.095,0.04,0.2,0.2,0.003439125779108393,-0.29873553439806294,0.3143814518814519
A241840,에이스토리,Base,0.08,0.05,0.25,0.25,0.007957111928826512,-0.7352040097021323,0.3143814518814519
A241840,에이스토리,Optimistic,0.065,0.05,0.3,0.3,0.019097068629183627,-1.5767887903151845,0.3143814518814519
A078860,엔에스이엔엠,Conservative,0.095,0.00033387939818589965,0.2,0.2,-0.017023853185536203,-0.03857433550520614,0.8292156454656454
A078860,엔에스이엔엠,Base,0.08,0.0103338793981859,0.25,0.25,-0.02920523934646274,-0.2120648517138847,0.8292156454656454
A078860,엔에스이엔엠,Optimistic,0.065,0.0203338793981859,0.3,0.3,-0.055203015221849866,-0.6146445228411558,0.8292156454656454
A049000,예당,Conservative,0.095,-0.0055060349060321,0.25,0.25,,,
A049000,예당,Base,0.08,0.0044939650939679,0.3,0.3,,,
A049000,예당,Optimistic,0.065,0.0144939650939679,0.35,0.35,,,
A052970,올리브나인,Conservative,0.095,-0.3990994395734388,0.2,0.25,-0.0002153518846285529,,
A052970,올리브나인,Base,0.08,-0.3890994395734388,0.25,0.3,-0.00028825447053518535,,
A052970,올리브나인,Optimistic,0.065,-0.3790994395734388,0.3,0.35,-0.00037135862476555805,,
A432430,와이랩,Conservative,0.095,0.04,0.2,0.2,-0.0004886248462058988,-0.09429570121081524,0.39603098290598293
A432430,와이랩,Base,0.08,0.05,0.25,0.25,-0.0011305322463297535,-0.23075161273441078,0.39603098290598293
A432430,와이랩,Optimistic,0.065,0.05,0.3,0.3,-0.0027132773911914087,-0.4950066555325881,0.39603098290598293
A122870,와이지엔터테인먼트,Conservative,0.095,0.04,0.2,0.2,0.009890785987936105,-1.3750667310482296,0.4784274984274985
A122870,와이지엔터테인먼트,Base,0.08,0.05,0.25,0.25,0.02288433056103005,-3.4096188266387104,0.4784274984274985
A122870,와이지엔터테인먼트,Optimistic,0.065,0.05,0.3,0.3,0.05492239334647212,-7.309606081378753,0.4784274984274985
A299900,위지윅스튜디오,Conservative,0.095,0.04,0.2,0.2,1.053286017453245e-05,-0.06329041324670852,0.614506327006327
